k,rho,n_1,alpha,pct_greater_d
4,4,8,0.05,0.1701
4,4,8,0.1,0.0184
4,4,9,0.05,0.2573
4,4,9,0.1,0.0183
4,4,10,0.05,0.0252
4,4,10,0.1,0.0193
4,4,11,0.05,0.1091
4,4,11,0.1,4e-4
4,6,2,0.05,0.9174
4,6,2,0.1,0.7257
4,6,3,0.05,0.6836
4,6,3,0.1,0.3832
4,6,4,0.05,0.295
4,6,4,0.1,0.1968
4,6,5,0.05,0.2737
4,6,5,0.1,0.2265
4,6,6,0.05,0.1063
4,6,6,0.1,0.0322
4,6,7,0.05,0.3291
4,6,7,0.1,0.0624
4,6,8,0.05,0.2163
4,6,8,0.1,0.0395
4,6,9,0.05,0.704
4,6,9,0.1,0.2037
4,6,10,0.05,0.5647
4,6,10,0.1,0
4,6,11,0.05,0.0057
4,6,11,0.1,3e-4
4,8,2,0.05,0.6392
4,8,2,0.1,0.3301
4,8,3,0.05,0.4055
4,8,3,0.1,0.3269
4,8,4,0.05,0.2794
4,8,4,0.1,0.1356
4,8,5,0.05,0.1567
4,8,5,0.1,0.1011
4,8,6,0.05,0.0854
4,8,6,0.1,0.0133
4,8,7,0.05,0.4538
4,8,7,0.1,0.0068
4,8,8,0.05,0.1632
4,8,8,0.1,0.04
4,8,9,0.05,0.017
4,8,9,0.1,0
4,8,10,0.05,0.0301
4,8,10,0.1,0.0032
4,8,11,0.05,6e-4
4,8,11,0.1,0
4,10,2,0.05,0.3718
4,10,2,0.1,0.3032
4,10,3,0.05,0.2573
4,10,3,0.1,0.1933
4,10,4,0.05,0.2048
4,10,4,0.1,0.1265
4,10,5,0.05,0.0949
4,10,5,0.1,0.0431
4,10,6,0.05,0.0834
4,10,6,0.1,0.0165
4,10,7,0.05,0.0401
4,10,7,0.1,0.0168
4,10,8,0.05,0.0476
4,10,8,0.1,0.0064
4,10,9,0.05,0.0116
4,10,9,0.1,0
4,10,10,0.05,0.0082
4,10,10,0.1,0.0012
4,10,11,0.05,9e-4
4,10,11,0.1,0
4,12,2,0.05,0.307
4,12,2,0.1,0.257
4,12,3,0.05,0.256
4,12,3,0.1,0.2171
4,12,4,0.05,0.1264
4,12,4,0.1,0.0454
4,12,5,0.05,0.0987
4,12,5,0.1,0.0441
4,12,6,0.05,0.0216
4,12,6,0.1,0.0055
4,12,7,0.05,0.0172
4,12,7,0.1,0.0052
4,12,8,0.05,0.0223
4,12,8,0.1,0.0018
4,12,9,0.05,0.0116
4,12,9,0.1,5e-4
4,12,10,0.05,0.006
4,12,10,0.1,0
4,12,11,0.05,0
4,12,11,0.1,0
